00001.jpg;983;388;1024;432;40
00001.jpg;386;494;442;552;38
00002.jpg;892;476;1006;592;39
00025.jpg;734;463;767;497;40
00030.jpg;394;511;420;537;38
00032.jpg;683;469;703;493;33
00033.jpg;22;505;88;571;38
00035.jpg;264;475;302;514;38
00036.jpg;1138;424;1163;450;35
00037.jpg;668;527;690;548;38
00039.jpg;953;252;1015;313;35
00040.jpg;1040;310;1130;400;33
00041.jpg;997;484;1031;517;38
00043.jpg;1047;357;1092;402;36
00043.jpg;110;444;143;480;35
00045.jpg;178;504;240;597;38
00048.jpg;780;443;811;474;40
00048.jpg;341;523;380;562;38
00049.jpg;993;397;1025;430;37
00050.jpg;946;373;967;400;34
00052.jpg;833;352;870;389;36
00053.jpg;766;438;799;471;35
00054.jpg;456;520;476;540;38
00060.jpg;296;508;323;535;38
00066.jpg;569;483;618;535;38
00074.jpg;383;527;421;569;38
00082.jpg;247;492;331;580;38
00083.jpg;1071;297;1142;368;40
00084.jpg;707;523;734;551;38
00092.jpg;423;449;444;470;35
00097.jpg;148;446;196;499;38
